True Label,Predicted Label
A,A
A,A
A,A
A,A
A,A
B,B
B,B
B,B
B,B
B,B
C,C
C,C
C,C
C,C
C,C
D,X
D,D
D,D
D,D
D,D
E,E
E,E
E,E
E,E
E,E
F,F
F,F
F,F
F,F
F,F
G,G
G,G
G,F
G,G
G,G
H,H
H,H
H,H
H,H
H,K
I,Y
I,I
I,I
I,I
I,I
J,J
J,J
J,J
J,J
J,J
K,P
K,K
K,K
K,K
K,K
L,L
L,X
L,L
L,L
L,L
M,N
M,N
M,N
M,N
M,M
N,N
N,T
N,N
N,N
N,N
O,O
O,A
O,O
O,O
O,O
P,P
P,P
P,P
P,P
P,P
Q,Q
Q,Q
Q,Q
Q,Q
Q,Q
R,U
R,R
R,R
R,R
R,R
S,S
S,E
S,O
S,B
S,S
T,L
T,T
T,T
T,T
T,T
U,U
U,U
U,U
U,U
U,U
V,V
V,W
V,V
V,V
V,V
W,W
W,W
W,W
W,W
W,W
X,X
X,X
X,X
X,X
X,X
Y,Y
Y,Y
Y,Y
Y,Y
Y,Y
Z,Z
Z,Z
Z,Z
Z,Z
Z,Z
